Data extracted on 16/04/2026 09:16:09 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,Energy imports dependency [nrg_ind_id__custom_21017055],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,14/04/2026 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard international energy product classification (SIEC),,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),50.024,,50.459,,51.742,,50.278,,51.317,,52.152,,52.691,,53.559,,55.381,,55.026,,56.285,,55.769,,56.256,,56.878,,56.854,,57.819,,58.244,,57.219,,58.370,,57.172,,55.746,,56.332,,54.882,,53.898,,54.401,,56.000,,56.121,,57.494,,58.111,,60.489,,57.458,,55.501,,62.513,,58.348,,57.285,
Belgium,75.267,,77.077,,78.167,,76.775,,79.863,,80.952,,80.543,,78.419,,80.851,,77.028,,78.164,,80.693,,77.667,,79.704,,79.774,,79.912,,79.486,,76.882,,80.846,,75.921,,78.656,,76.588,,76.673,,77.858,,80.190,,84.227,,75.982,,75.318,,83.043,,77.668,,78.133,,70.773,,73.697,,75.763,,75.448,
Bulgaria,63.429,,63.208,,56.599,,58.613,,55.346,,57.318,,56.403,,51.221,,50.259,,48.593,,46.409,,46.199,,46.917,,46.650,,48.340,,47.343,,46.223,,51.233,,52.154,,45.393,,40.146,,36.732,,36.859,,38.313,,35.171,,36.446,,38.472,,39.362,,36.596,,38.457,,38.171,,36.178,,37.110,,39.512,,41.936,
Czechia,15.179,,15.609,,15.701,,15.836,,18.641,,20.454,,24.186,,24.032,,25.024,,24.971,,22.704,,25.012,,26.204,,24.929,,25.338,,27.846,,27.498,,24.989,,27.737,,26.867,,25.380,,28.832,,25.413,,27.580,,30.227,,32.089,,32.800,,37.162,,36.879,,40.810,,38.768,,39.958,,41.772,,41.679,,39.320,
Denmark,45.496,,39.612,,36.956,,27.272,,27.210,,33.547,,22.029,,15.772,,5.601,,-16.882,,-35.918,,-28.630,,-42.287,,-31.541,,-47.120,,-50.618,,-35.492,,-24.247,,-21.129,,-18.800,,-16.235,,-6.315,,-3.175,,12.312,,12.225,,13.078,,13.570,,11.344,,22.704,,38.882,,44.890,,32.225,,43.142,,39.705,,38.229,
Germany,46.527,,51.568,,54.514,,55.429,,56.686,,56.749,,58.669,,59.336,,60.969,,59.243,,59.441,,60.891,,60.126,,60.540,,61.158,,60.740,,60.981,,58.516,,60.769,,61.103,,59.992,,61.801,,61.215,,62.411,,61.779,,62.132,,63.752,,63.959,,63.478,,67.055,,63.676,,63.395,,68.652,,66.831,,66.802,
Estonia,41.004,,38.901,,35.518,,36.786,,34.485,,32.966,,30.356,,30.431,,37.703,,35.152,,33.989,,33.742,,32.107,,29.764,,30.110,,26.878,,30.030,,24.288,,27.215,,27.175,,14.680,,13.646,,20.648,,14.522,,11.562,,11.182,,8.069,,4.584,,1.229,,4.724,,10.528,,1.412,,6.159,,3.471,,4.622,
Ireland,69.010,,67.024,,65.885,,66.932,,64.931,,71.313,,71.667,,75.965,,80.348,,85.546,,85.432,,89.603,,88.084,,90.261,,91.608,,89.647,,90.745,,87.548,,89.991,,87.797,,87.462,,90.312,,83.677,,91.506,,86.012,,88.653,,68.951,,66.021,,67.576,,68.673,,71.125,,76.997,,79.086,,77.761,,79.533,
Greece,61.852,,63.096,,68.830,,66.386,,58.450,,66.465,,67.858,,67.206,,69.756,,65.670,,69.055,,68.495,,71.063,,67.088,,72.259,,68.204,,71.419,,70.858,,72.915,,67.341,,68.584,,64.677,,65.889,,61.750,,65.455,,71.047,,72.911,,71.282,,70.681,,74.103,,81.415,,73.819,,79.506,,75.447,,77.714,
