Data extracted on 28/04/2026 04:15:55 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,General government expenditure by function (COFOG) [gov_10a_exp__custom_21202047],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,27/04/2026 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,,General government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification of the functions of government (COFOG 1999),,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National accounts indicator (ESA 2010),,Total general government expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
Cyprus,2.5,,2.6,,2.5,,2.6,,2.9,,3.1,,2.8,,2.8,,2.8,,2.6,,2.7,,3.0,,3.0,,3.1,,3.0,,3.1,,2.7,,2.5,,2.5,,2.5,,2.6,,3.5,,5.8,,6.5,,5.9,,6.0,,6.1,,:,
Latvia,4.0,,4.0,,4.0,,3.2,,3.7,,3.4,,3.4,,4.1,,4.5,,4.2,,4.5,,4.6,,4.1,,4.4,,4.0,,3.8,,3.9,,3.9,,3.8,,3.6,,4.2,,4.3,,4.8,,6.5,,5.6,,5.4,,5.4,,:,
Lithuania,5.4,,5.8,,4.9,,5.5,,5.1,,5.0,,4.1,,4.9,,4.6,,4.6,,5.0,,5.5,,5.5,,5.2,,4.7,,4.5,,4.5,,4.7,,4.8,,4.6,,4.7,,5.0,,5.9,,5.8,,5.2,,5.2,,5.8,,:,
Luxembourg,5.0,,4.7,,4.4,,4.9,,5.0,,5.2,,5.4,,5.4,,4.9,,4.7,,4.7,,5.3,,5.0,,4.9,,5.0,,5.2,,5.1,,4.9,,4.8,,5.0,,5.1,,5.2,,5.8,,5.4,,5.4,,5.4,,5.6,,5.8,
Hungary,5.3,,5.1,,5.2,,5.0,,5.4,,5.8,,5.5,,5.7,,5.7,,4.9,,4.9,,5.2,,5.0,,5.1,,5.1,,5.0,,4.8,,5.1,,4.7,,4.7,,4.6,,4.5,,6.3,,5.9,,5.1,,4.7,,4.7,,:,
Malta,4.4,,4.4,,4.8,,4.8,,5.4,,5.5,,5.6,,6.0,,6.1,,5.5,,5.2,,5.0,,5.1,,5.4,,5.4,,5.4,,5.5,,5.4,,5.2,,4.9,,4.9,,5.1,,6.6,,6.1,,5.5,,5.0,,5.0,,:,
Netherlands,4.5,,4.5,,4.6,,4.8,,5.1,,5.4,,5.3,,5.3,,6.6,,6.7,,6.5,,7.3,,7.7,,7.8,,8.1,,8.0,,7.9,,7.6,,7.1,,7.2,,7.2,,7.2,,8.1,,8.3,,7.2,,7.1,,7.3,,:,
Austria,7.3,,7.4,,7.3,,7.3,,7.5,,7.7,,7.8,,7.7,,7.6,,7.6,,7.8,,8.1,,8.2,,7.9,,8.0,,8.1,,8.2,,8.3,,8.3,,8.3,,8.3,,8.4,,9.2,,10.1,,9.4,,9.0,,9.5,,:,
Poland,3.3,,3.8,,3.8,,4.2,,4.4,,4.3,,4.2,,4.4,,4.6,,4.5,,4.9,,5.0,,5.0,,4.7,,4.6,,4.7,,4.7,,4.6,,4.6,,4.7,,4.7,,4.8,,5.3,,5.7,,5.2,,5.7,,6.1,,:,
Portugal,6.1,,6.1,,6.3,,6.5,,6.6,,7.0,,7.3,,7.3,,7.0,,7.1,,7.3,,8.0,,7.5,,6.9,,6.6,,6.5,,6.3,,6.2,,6.1,,6.3,,6.5,,6.5,,7.4,,7.6,,7.1,,6.7,,6.8,p,:,
Romania,2.4,,3.8,,4.1,,4.1,,4.1,,3.5,,3.2,,3.3,,3.3,,3.6,,3.6,,4.0,,4.1,,3.9,,3.7,,4.1,,4.0,,4.2,,4.1,,4.4,,4.6,,5.0,,5.5,,5.5,,5.0,,4.8,,5.2,,:,
Slovenia,6.7,,6.6,,6.7,,6.8,,6.8,,6.7,,6.5,,6.5,,6.3,,5.9,,6.2,,7.0,,6.9,,7.0,,7.0,,6.9,,6.5,,6.7,,6.8,,6.6,,6.6,,6.7,,8.0,,8.3,,7.7,,7.3,,8.0,,:,
Slovakia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,7.6,p,7.2,p,7.1,p,5.1,p,5.7,p,5.5,p,5.7,p,5.6,p,5.4,p,5.8,p,6.4,p,6.5,p,6.9,p,6.6,p,6.9,p,:,
