Series Name,Series Code,Country Name,Country Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Belgium,BEL,3.093369534,3.143248647,3.261522061,3.261345018,3.250195386,3.366049436,3.269944591,3.19141317,3.007902449,2.931233854,2.953772624,2.901794793,2.628748416,2.460854324,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.544640554,1.519316842,1.45786619,1.417395812,1.39393069,1.350865368,1.283523288,1.223761317,1.221194011,1.15659439,1.096641182,1.056123069,1.098018764,1.221914517,1.163530034,1.090181102,1.044501135,1.037029667,1.004520087,0.96627233,0.911829965,0.898085291,0.886837201,0.892442477,0.887004951,1.005927967,1.042639942,1.162465513,1.184228752,1.277053127,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Belize,BLZ,..,..,0.575196525,0.799043909,0.863782257,1.158969928,1.437587169,1.534381036,1.543918919,1.559825996,..,..,..,1.199111423,0.894743197,0.818168468,0.788094264,0.844087949,1.052887224,1.011329834,0.962038382,1.111424536,..,..,0.657400607,0.660133827,0.653179344,0.67481077,0.699362423,0.750747146,0.770603665,0.804721615,1.074080067,1.020259473,0.876347006,0.842255994,0.796165416,0.874010589,0.931313122,0.892830506,0.962758148,1.010667867,1.011321228,1.016627016,1.266237818,1.097510266,0.979173786,0.992933768,0.898885869,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Benin,BEN,1.28164794,1.678787879,1.194306931,1.930460034,2.031651419,1.551371319,1.04929865,1.188970677,1.45869894,1.304931932,1.35509654,1.5695985,1.564091205,1.307896061,1.225157121,..,..,..,..,..,..,..,..,0.48538923,0.412852302,0.357971127,0.622819458,0.647223227,0.67614985,0.680970685,0.665723324,..,0.66395898,..,..,..,0.702056158,0.687239683,0.700924949,0.798485298,0.673596727,0.920613124,0.63285754,0.473313906,0.458762015,0.550883649,0.632087492,0.757551383,0.72054962,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bolivia,BOL,2.367156575,2.247499441,2.598970098,2.708461078,3.172399893,3.902203322,1.9818473,1.499320703,2.170841736,2.013992525,2.345549228,2.377263176,2.02098132,2.1562887,2.815883319,2.688324857,2.506118833,1.91634981,2.250301234,2.096162258,1.986807543,2.273610301,2.69111086,2.133287095,2.062971513,2.320446744,1.990333715,2.145483398,1.896503305,1.717004423,1.466226984,1.489047584,2.193951609,1.761360756,2.785007269,1.684122657,1.845606439,1.841240314,1.896915045,1.759435915,1.530467849,1.536427353,1.496902607,1.451270927,1.392047445,1.325799438,0.973250888,1.304308374,1.370663643,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.904372905,2.41669769,1.889602808,1.544219658,1.386533469,1.236152896,1.22061206,1.376586212,1.280341444,1.136430264,1.145571921,1.087055798,1.025826887,0.988857623,0.92277227,0.852593562,0.840047357,0.807324225,0.827298283,0.8861336,0.752028731,0.717630061,0.74707992,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Botswana,BWA,..,1.356572569,2.874909003,3.501499383,3.207620529,2.978298115,2.69474386,2.326337698,2.437270832,2.184731489,2.663595803,4.794414575,4.899677023,3.56901008,4.445158035,4.603469927,4.482809049,4.933491973,4.008120396,3.506479719,2.899521498,3.197204627,3.779398844,3.092073755,3.191242951,3.831223033,4.11020649,4.007366589,3.505874041,2.858004185,2.754546095,2.90001469,3.097620399,3.262820738,2.75907988,2.404430032,2.343772126,2.14717105,2.211997144,2.825194499,3.410662583,3.248579195,2.924759445,3.081222446,3.334787687,3.045569324,2.517782857,2.456258982,2.833928006,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Brazil,BRA,2.002753365,1.687726478,1.59967155,1.521931686,1.138434421,1.143148768,1.303534361,1.254580323,1.199541045,1.429523122,1.220388728,1.743994031,2.118072205,2.68625,2.363841025,1.963333333,1.521528861,1.927922815,2.016007789,1.86213698,1.6548435,1.577688316,1.66229192,1.645474667,1.730726147,1.951882445,1.895771199,1.503477636,1.461268409,1.524013463,1.481084956,1.4662921,1.441924088,1.538625676,1.539406981,1.411851159,1.378656465,1.329446084,1.330244423,1.365517154,1.347975413,1.414021668,1.469677724,1.382797246,1.326660269,1.14903763,1.052400838,1.00237539,0.972774559,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Brunei Darussalam,BRN,4.755268621,4.137172329,4.595714803,6.115366322,2.888872044,3.556181907,3.9631801,3.046320117,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.21043627,6.437735269,6.404350125,6.245144781,5.740231735,5.982471359,5.477265965,6.249493831,7.183964552,7.529843893,6.130418352,4.06920549,3.886397608,3.870782758,3.711419618,2.532730088,2.349427638,2.303963195,2.380152244,2.261792369,2.941072032,2.850487901,2.24224142,2.159034489,2.277507595,3.086860958,3.279290461,3.539384639,2.86512851,2.636612485,3.078587249,3.634291769,3.236367482,2.611930025,2.976017497,3.577816095,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,4.39627075,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,1.638345757,1.737429583,2.1594803,2.131516213,2.619501164,2.652455762,2.862519544,2.779676555,2.691201472,2.373711682,2.235350267,2.081761908,2.228539901,2.131863983,1.739511501,1.642461524,1.314000256,1.329818965,1.454042831,1.309602232,1.245933607,1.243845808,1.222208548,1.451062124,3.144950729,1.585618271,1.51072371,1.587075004,1.944583107,2.149473282,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Burkina Faso,BFA,3.123828648,3.043266631,3.283146067,2.698613861,2.746691176,2.842689698,3.003303634,2.932183416,3.017167437,1.836525411,2.621893491,2.252586462,2.310812644,2.740774077,2.704892966,2.166869267,2.049651568,1.862529885,1.422884729,1.383042694,1.28708847,1.417055045,1.27636264,1.231911999,1.238046381,1.155515024,1.177934977,1.073055338,1.207005766,1.201894848,1.110321797,1.415726528,1.242912608,1.352764976,1.224785993,1.150905878,1.176028479,1.236090257,1.272341952,1.25078088,1.165333354,1.363629705,1.925384551,2.212552085,2.114241815,2.333628631,2.981615669,4.078711724,4.679731969,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Burundi,BDI,2.2236012,2.533381742,2.796373652,2.643715301,2.918803369,3.030330243,3.50702489,3.104808926,2.975400785,2.751172646,2.805413158,2.649139912,3.145245149,3.349522133,3.448712473,3.786270865,3.595637948,3.72027582,3.921111198,4.209072899,5.856884919,6.359652961,6.572272507,6.257643657,4.862402213,6.071737158,5.441678859,5.533435389,4.903266843,4.436190041,3.511718452,3.414595248,2.720890527,..,..,..,2.527177708,2.482413115,2.297945591,2.131319915,2.243163864,2.002709903,2.149419566,2.807816811,2.185913284,2.043009763,2.598580914,3.43157711,3.801279197,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,2.792398965,2.463444386,2.335531481,2.103676174,1.913885606,..,..,..,0.992592471,0.756580531,0.838878589,1.265080851,0.84417531,0.831007455,0.858540442,0.838543201,1.154025913,0.753615197,0.66548029,0.648753559,0.630978438,0.649497233,0.564741208,0.481259814,0.548601274,0.449908484,0.451425943,0.476996487,0.506009716,0.483664166,0.492596174,0.510089039,0.55004804,0.470518534,0.485896541,0.431864984,0.618818771,0.546659834,0.456081005,0.566494135,0.623903408,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,1.146850882,1.574245346,1.278203562,1.992453582,2.071375594,2.327896585,3.145933014,1.761289499,3.8423429,3.577310579,3.238454583,3.003361162,2.6620479,2.510029082,2.185803519,1.705599565,1.446290832,1.336102588,1.176516076,1.004190411,0.908700458,0.780175183,0.678731132,1.09246347,1.215598763,1.198552665,1.219001376,1.229204056,1.261141585,1.345204632,1.439556947,1.561816475,1.63716526,1.621937049,1.780105016,1.701607768,1.541883489,1.544897653,1.52066452,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cameroon,CMR,1.762325015,1.715850108,1.66511724,1.655363748,1.555817726,1.818915609,1.990519146,1.890684084,1.740219092,1.339835729,1.217823458,1.250025497,1.284796155,1.333689155,1.474566613,1.514551699,1.532605614,1.326124551,1.310340092,1.251644839,1.224837883,1.301241746,1.396509438,1.443852391,1.324748865,1.290360035,1.338506756,1.383806998,1.401603832,1.143900624,1.229793943,1.241592993,1.255590741,1.233834189,1.288375177,1.135888892,1.175348576,1.165041143,1.104979623,1.098898643,1.14642435,1.138373822,1.076009818,1.064578378,0.964407323,0.985208788,0.939352947,0.92649047,1.00912763,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Canada,CAN,1.765927978,1.8057636,1.848887401,1.711245918,1.764448615,1.709915638,1.954343585,2.081196249,2.117188855,2.097376234,2.109197118,2.062576371,1.986767119,1.934614309,1.958793742,1.895444339,1.8616877,1.821753504,1.696680257,1.554090071,1.403752581,1.246243202,1.256293902,1.241703064,1.114349802,1.133356283,1.116869147,1.111937307,1.104189391,1.107105424,1.122524729,1.18579023,1.245518367,1.377555631,1.194338338,1.193291895,1.118404598,1.0023672,0.989925299,1.152709374,1.164161567,1.351896465,1.317678106,1.284512244,1.393993408,1.254200814,1.167132595,1.253165679,1.313034196,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,..,..,..,..,..,1.08695557,1.263854401,1.153088004,1.089759933,..,1.089077245,1.549880994,1.747970741,2.409960175,2.048401248,1.702845202,2.83390827,2.029654395,1.575316779,1.47163796,1.342697395,1.339989034,1.789899883,1.858972725,2.149248439,1.710862243,2.377206596,2.519691199,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,3.124563863,2.952007112,2.824319048,2.958424508,1.833066382,3.562752042,2.733140698,1.38028772,..,1.374650273,1.745582183,1.217722918,0.898555751,1.001667342,0.697722261,0.598524354,0.885368766,0.999606076,0.99371784,1.11881329,0.97060059,0.74243261,0.610589376,2.17784149,3.249498027,4.276458518,5.701484396,4.317473907,3.759313022,..,4.294885472,2.157842389,1.523970766,2.31170355,1.65961164,1.65270268,1.573601482,2.211926881,2.079135569,2.044244809,2.117589829,2.984849901,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Chile,CHL,6.085050825,6.915244814,6.728122321,6.332556333,6.48209287,7.022118889,8.877267738,7.575222602,7.605406176,6.900608611,6.288002199,5.638071075,4.13999608,3.590029509,3.401654859,2.849842767,2.628510469,2.706922937,2.597544983,2.562064629,2.423298587,2.473642714,2.576201158,2.702682746,2.688615879,2.64704914,2.531542953,2.702971454,2.712290416,2.534763022,2.506082189,2.330980562,2.583652295,2.276507899,2.254240933,2.263612781,2.045880283,1.994622472,1.96710685,1.90962339,1.924158447,1.94059251,1.877613951,1.86471711,2.065530582,1.647424152,1.540990693,1.630263887,1.577803886,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,2.447101315,2.454016116,2.311243412,2.449542068,1.928066874,1.693479599,1.686233887,1.65272667,1.632650673,1.655080691,1.871465914,1.835759685,1.983086244,2.059364653,1.996288936,1.938508233,1.871858023,1.869591636,1.750164585,1.716042546,1.893523796,1.733519862,1.659082516,1.700942672,1.714340923,1.738409288,1.776771069,1.76888659,1.711242644,1.673578209,1.682911012,1.756699471,1.605259718,1.630533892,1.664848897,1.711297403,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Colombia,COL,1.493602871,1.438487214,1.55031941,1.67392877,1.830121649,1.755120362,1.713850959,2.219937527,2.325894964,2.054016609,1.944619591,1.983135416,2.199244755,2.188183807,1.8601593,1.853481783,2.106677943,2.525267018,2.508407013,2.831626581,4.445393254,2.801787886,3.440985742,3.762742058,3.031683539,3.323872819,3.417127624,3.463988691,3.465015174,3.374679694,3.295824991,3.286301709,3.737246986,3.886963837,3.636915046,3.07710699,3.156005863,3.272262857,3.108258848,3.109960084,3.071131026,3.208096724,3.033232739,3.145656694,3.534404132,3.195758253,2.797982827,2.96545218,3.359033683,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,"Congo, Dem. Rep.",COD,3.35789E-05,3.49242E-05,3.27322E-05,2.97297E-05,..,..,..,..,..,..,..,..,..,..,..,..,..,5.226085685,..,..,1.546801091,1.410851124,0.428454161,1.158150664,0.220260805,..,..,0.880645829,1.336604408,1.310139761,1.324603322,1.106116277,0.697347863,0.651615938,0.821258595,0.904759163,1.107229255,1.073531885,0.88969521,1.223383052,1.025634372,0.741570728,0.612346556,0.694017432,0.729735329,0.533178815,0.567707215,1.11885996,1.228552671,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,"Congo, Rep.",COG,4.73183391,4.953219593,4.3197176,4.393713163,3.365982242,3.187096179,3.345045678,..,2.253103808,2.575195715,..,4.374167391,..,..,..,..,3.829288608,3.644869108,..,..,..,..,..,..,..,1.792224541,2.123352384,2.432293399,2.440179903,1.518137941,1.569342919,1.916288944,1.79027941,..,1.662590448,..,..,2.044475519,3.940357267,..,4.594806143,3.178134693,1.97928115,2.146276579,2.601187266,2.340348906,1.907984889,1.976256411,1.185961216,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cote d'Ivoire,CIV,1.118886112,0.794768612,1.098093102,1.123772304,1.164286711,1.091036048,1.142167706,1.115046625,1.025590419,0.996969504,1.05352867,1.217098753,1.249140612,1.330374658,0.964774733,0.994003863,1.017086803,0.973500965,0.731597908,..,0.611814464,0.577204483,..,..,..,..,..,1.006751824,1.096073443,1.058065308,1.086579561,1.150833029,1.101704681,1.251735726,1.127105101,1.007057862,1.100663875,0.99501912,1.067776122,1.243917281,1.245859102,0.965894036,1.039214082,0.887657866,0.963119471,0.876213827,0.865226905,0.864878468,0.762358993,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.607386443,10.72675715,11.14817729,9.101527697,8.075131549,7.478051896,5.545558052,4.383067283,3.024582357,2.705751355,2.708808293,2.026147353,1.740387895,1.744037291,1.666410166,1.610778665,1.823154445,1.772178582,1.666186162,1.736602376,1.655937751,1.607808754,1.808117159,1.748702504,1.589225385,1.633166294,1.542340556,1.603610742,1.69659502,1.971501132,1.802852652,1.706631588,1.793234245,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.380960052,3.326856112,3.084505001,3.937599978,3.512728781,3.536004761,3.083791445,3.072187925,2.872403239,2.876207372,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,1.270291696,1.577157899,5.391477698,5.700256029,5.369355098,7.374035613,7.264776122,9.129286044,4.074952605,4.023989196,3.041034215,4.524714829,5.57391077,4.676317946,2.73385097,2.822090151,3.153222159,2.130160735,1.985163124,1.955769162,2.037469743,1.899997863,1.684599658,1.629704944,1.816819508,1.852924551,1.737832091,1.654751702,1.60700909,1.54260196,1.647667627,1.404557612,1.568102939,1.74983319,1.769593537,1.895534378,1.784067442,1.721188476,1.650606833,1.64735215,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.330404066,2.283400858,1.758855331,1.657586077,1.580303497,1.735597662,1.838687411,1.861470184,1.735528293,1.809011465,1.877522107,1.699643465,1.77725785,1.568114684,1.424788332,1.234088178,1.313492189,1.182897788,1.069142968,1.055607707,1.008704463,0.959115722,0.941202925,0.9866344,0.943984412,1.075526688,1.133239676,1.295406325,1.353253257,1.326902105,1.47176821,1.916808492,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Denmark,DNK,2.204203185,2.216303129,2.271821195,2.251527372,2.363092523,2.438666392,2.419895025,2.364742876,2.235470726,2.104672107,1.944819237,2.031647483,2.087470632,2.024220137,1.950757035,1.919758739,1.855151021,1.874085191,1.742600262,1.686759574,1.646143545,1.618724308,1.609071181,1.565536516,1.458465617,1.531542621,1.50685882,1.464667329,1.420240154,1.308111468,1.375055747,1.304022802,1.348826812,1.344412255,1.39710181,1.312339289,1.353293141,1.223524904,1.149797804,1.114813026,1.151071466,1.139985411,1.283104893,1.299206606,1.373768853,1.291557636,1.361564574,1.999613329,2.416174542,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Djibouti,DJI,..,..,0.020942408,0.01750547,0.535539602,1.415326001,7.485064011,7.659693166,..,..,..,..,..,..,..,6.650884508,6.760028054,6.158737241,5.757444699,5.791646029,5.080478793,5.474986078,5.65087454,5.478089713,5.069101191,..,..,..,5.607179054,4.507756783,4.58763424,2.901074893,2.627582525,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Dominican Republic,DOM,1.928381627,1.885723006,2.17556607,2.182294319,1.583543216,1.720128253,1.582040078,1.366505433,1.198895981,1.210052351,1.344154055,1.018139942,0.880047488,0.800367985,0.675729388,0.348155032,0.559086816,0.755070036,0.733765624,0.549477868,0.63365161,0.796926407,0.780062374,0.816243888,1.030096472,1.213496052,1.058919211,0.764145027,0.687618052,0.766536372,0.683423361,0.627619057,0.699861657,0.66746117,0.667531705,0.60292806,0.653151462,0.611824773,0.651437856,0.643674978,0.634030553,0.666063444,0.69399111,0.689583055,0.746231922,0.647239949,0.679073002,0.779308679,0.782420069,..
