country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
croatia,,,63.97,66.37,69.32,72.28,74.11,75.88,77.51,79.83,82.46,84.65,89.56,91.56,92.55,94.59,97.76,100.04,100.26,100,99.37,100.67,102.23,103.04,103.06,105.82,117.11,126.94,132.04,137.82
italy,68.5,69.8,71.2,72.3,74.2,75.9,77.9,80.1,81.9,83.7,85.6,87.3,90.4,91.1,92.6,95.3,98.4,99.7,99.9,100,99.9,101.3,102.5,103.2,103,105,114.2,120.9,122.3,124.3
cyprus,66.81,69.02,70.63,71.44,74.91,76.4,78.53,81.65,83.2,84.88,86.79,88.67,92.55,92.71,95.09,98.4,101.45,101.84,101.57,100,98.78,99.45,100.23,100.78,99.67,101.92,110.17,114.5,117.09,118.06
latvia,46.72,50.49,52.66,53.77,55.18,56.58,57.69,59.39,63.06,67.4,71.83,79.08,91.14,94.11,92.96,96.88,99.09,99.11,99.79,100,100.1,103,105.63,108.53,108.62,112.14,131.47,143.38,145.32,150.85
lithuania,57.61,63.56,66.97,67.94,68.68,69.74,69.98,69.22,70.02,71.89,74.59,78.93,87.69,91.34,92.43,96.24,99.28,100.44,100.68,100,100.68,104.42,107.07,109.47,110.63,115.75,137.57,149.52,150.79,155.99
luxembourg,65.63,66.54,67.18,67.87,70.43,72.12,73.6,75.47,77.91,80.85,83.24,85.45,88.94,88.95,91.44,94.85,97.59,99.25,99.94,100,100.04,102.15,104.21,105.93,105.93,109.61,118.55,122.02,124.77,127.93
hungary,31.76,37.62,42.97,47.25,51.95,56.67,59.64,62.43,66.66,68.98,71.76,77.45,82.12,85.43,89.47,92.98,98.24,99.92,99.94,100,100.45,102.84,105.84,109.46,113.15,119.04,137.22,160.59,166.56,173.96
malta,63.69,66.19,68.63,70.21,72.34,74.16,76.1,77.56,79.68,81.69,83.79,84.38,88.33,89.95,91.79,94.1,97.13,98.08,98.84,100,100.9,102.18,103.95,105.54,106.37,107.12,113.69,120.01,122.94,125.9
netherlands,68.83,70.11,71.36,72.81,74.51,78.32,81.35,83.16,84.32,85.57,86.99,88.36,90.32,91.2,92.05,94.32,96.99,99.47,99.79,100,100.11,101.4,103.02,105.78,106.96,109.98,122.78,127.81,131.92,135.86
austria,71.77,72.61,73.2,73.58,75.02,76.74,78.04,79.05,80.6,82.3,83.69,85.53,88.29,88.64,90.14,93.35,95.75,97.77,99.2,100,100.97,103.22,105.41,106.98,108.47,111.46,121.07,130.4,134.21,139.01
poland,46.2,53.1,59.4,63.6,70,73.8,75.2,75.7,78.5,80.2,81.2,83.3,86.8,90.3,92.7,96.3,99.8,100.6,100.7,100,99.8,101.4,102.6,104.8,108.6,114.3,129.4,143.5,148.7,153.7
portugal,66.9,68.16,69.67,71.18,73.18,76.41,79.24,81.8,83.85,85.64,88.25,90.39,92.78,91.95,93.22,96.54,99.22,99.65,99.5,100,100.64,102.2,103.4,103.71,103.58,104.55,113.03,118.98,122.15,124.83
romania,3.25,8.29,13.19,19.23,28.01,37.66,46.14,53.18,59.51,64.9,69.19,72.58,78.33,82.7,87.73,92.84,95.98,99.04,100.41,100,98.93,100,104.08,108.15,110.67,115.21,129.06,141.64,149.91,160.06
slovenia,45.86,49.68,53.61,56.89,61.98,67.33,72.37,76.46,79.26,81.19,83.25,86.42,91.19,91.97,93.86,95.81,98.5,100.4,100.77,100,99.85,101.4,103.36,105.11,104.82,106.97,116.94,125.38,127.87,131.04
slovakia,43.89,46.53,49.64,54.82,61.5,65.9,68.21,73.96,79.49,81.71,85.19,86.8,90.22,91.05,91.69,95.43,99,100.45,100.35,100,99.52,100.9,103.46,106.33,108.47,111.53,125.05,138.79,143.17,149.23
finland,71.77,72.64,73.62,74.59,76.79,78.84,80.42,81.46,81.58,82.21,83.26,84.57,87.89,89.32,90.83,93.85,96.81,98.96,100.16,100,100.39,101.23,102.42,103.58,103.98,106.12,113.74,118.67,119.83,122.01
sweden,76.16,77.54,78.32,78.76,79.78,81.92,83.51,85.44,86.32,87.03,88.34,89.82,92.83,94.63,96.43,97.75,98.66,99.1,99.3,100,101.14,103.02,105.12,106.93,107.63,110.49,119.39,126.44,128.98,132.35
